Kuby 8e Detailed TOC,"Updated Detailed TOC (Ch 4, 13, 14, 17, 18, 20 only)
",Updates,
Chapter 1: Overview of the Immune System,,,
● A Historical Perspective of Immunology,,,
o Early Vaccination Studies Led the Way to Immunology,,"Revised discussion of variolation credits Onesimus, the enslaved African man who taught Bostonians the technique that reduced the death rate due to smallpox. (p. 3)",
"o Vaccination Is an Ongoing, Worldwide Enterprise",,,
o Immunology Is About More Than Just Vaccines and Infectious Disease,,Added recent entries to the table of immunology-related Nobel awards,
o Immunity Involves Both Humoral and Cellular Components,,,
o How Are Foreign Substances Recognized by the Immune System?,,,
● Important Concepts for Understanding the Mammalian Immune Response,,,
o Pathogens Come in Many Forms and Must First Breach Natural Barriers,,,
o The Immune Response Quickly Becomes Tailored to Suit the Assault,,,
o Pathogen Recognition Molecules Can Be Encoded as Genes or Generated by DNA Rearrangement,,,
o Tolerance Ensures That the Immune System Avoids Destroying the Host,,,
o The Immune Response Is Composed of Two Interconnected Arms: Innate Immunity and Adaptive Immunity,,,
o Immune Cells and Molecules Can Be Found in Many Places,,,
o Adaptive Immune Responses Typically Generate Memory,,,
"● The Good, Bad, and Ugly of the Immune System",,,
o Inappropriate or Dysfunctional Immune Responses Can Result in a Range of Disorders,,,
o The Immune Response Renders Tissue Transplantation Challenging,,,
o Cancer Presents a Unique Challenge to the Immune Response,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
"Chapter 2: Cells, Organs, and Microenvironments of the Immune System",,Minor corrections and updates.,
● Hematopoiesis and Cells of the Immune System,,Overview Figure 2-1 now recognizes that some monocytes derive from the myeloid progenitor.,
o Hematopoietic Stem Cells Differentiate into All Red and White Blood Cells,,,
o HSCs Differentiate into Myeloid and Lymphoid Blood Cell Lineages,,,
o Cells of the Myeloid Lineage Are the First Responders to Infection,,,
o Cells of the Lymphoid Lineage Regulate the Adaptive Immune Response,,"Text and Table 2-4 now categorize NK cells as members of the group 1 ILCs.
Text briefly introduces Type 1, 2, and 3 responses.",
● Primary Lymphoid Organs: Where Immune Cells Develop,,Updates to stem cell research in Clinical Focus Box 2-2.,
o The Site of Hematopoiesis Changes during Embryonic Development,,,
o The Bone Marrow Is the Main Site of Hematopoiesis in the Adult,,,
o The Thymus Is the Primary Lymphoid Organ Where T Cells Mature,,,
● Secondary Lymphoid Organs: Where the Immune Response Is Initiated,,,
o Secondary Lymphoid Organs Are Distributed throughout the Body and Share Some Anatomical Features,,,
o Blood and Lymphatics Connect Lymphoid Organs and Infected Tissue (56),,,
o The Lymph Node Is a Highly Specialized Secondary Lymphoid Organ,,,
o The Spleen Organizes the Immune Response against Blood-Borne Pathogens,,,
o Barrier Organs Also Have Secondary Lymphoid Tissue,,,
o Tertiary Lymphoid Tissues Also Organize and Maintain an Immune Response,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 3: Recognition and Response,,Minor corrections and updates; some overlap with new Appendix D (signal transduction) will be addressed in a future update.,
● General Properties of Immune Receptor-Ligand Interactions,,,
o Receptor-Ligand Binding Occurs via Multiple Noncovalent Bonds,,,
o How Do We Describe the Strength of Receptor-Ligand Interactions?,,,
o Interactions between Receptors and Ligands Can Be Multivalent,,,
o Combinatorial Expression of Protein Chains Can Increase Ligand-Binding Diversity,,,
o Adaptive Immune Receptor Genes Undergo Rearrangement in Individual Lymphocytes,,,
o Levels of Receptor and Ligand Expression Can Vary during an Immune Response,,,
o Local Concentrations of Ligands May Be Extremely High during Cell-Cell Interactions,,,
o Many Immune Receptors Include Immunoglobulin Domains,,,
"o Immune Antigen Receptors Can Be Transmembrane, Cytosolic, or Secreted",,,
● Immune Antigen Receptor Systems,,,
o The B-Cell Receptor Has the Same Antigen Specificity as Its Secreted Antibodies,,,
o T-Cell Antigen Receptors Recognize Antigen in the Context of MHC Proteins,,"In Figure 3-15c, replaced structure of CDRs in TCR with model of TCR binding peptide and MHC.",
o Receptors of Innate Immunity Bind to Conserved Molecules on Pathogens,,"In Table 3-2, updated icon for the RLR MDA5, added a row for cGAS/STING",
● Cytokines and Their Receptors,,,
o Cytokines Are Described by Their Functions and the Distances at Which They Act,,,
"o Cytokines Exhibit the Attributes of Pleiotropy, Redundancy, Synergism, Antagonism, and Cascade Induction",,,
o Cytokines of the IL-1 Family Promote Proinflammatory Signals,,,
o Class 1 Cytokines Share a Common Structural Motif But Have Varied Functions,,,
o Class 2 Cytokines Are Grouped into Three Families of Interferons,,,
o TNF Family Cytokines May Be Soluble or Membrane-Bound,,,
o The IL-17 Family of Cytokines and Receptors Is the Most Recently Identified,,,
o Chemokines Induce the Directed Movement of Leukocytes,,,
● A Conceptual Framework for Understanding Cell Signaling,,Updated Figure 3-24 to match colors used in new Appendix D (signal transduction),
o Ligand Binding Can Induce Dimerization or Multimerization of Receptors,,Updated Figure 3-25 to match colors used in new Appendix D (signal transduction),
o Ligand Binding Can Induce Phosphorylation of Tyrosine Residues in Receptors or Receptor-Associated Molecules,,,
o Src-Family Kinases Play Important Early Roles in the Activation of Many Immune Cells,,Updated Figure 3-27 to match colors used in new Appendix D (signal transduction),
o Intracellular Adapter Proteins Gather Members of Signaling Pathways,,,
o Common Sequences of Downstream Effector Relays Pass the Signal to the Nucleus,,,
o Not All Ligand-Receptor Signals Result in Transcriptional Alterations,,,
● Immune Responses: The Outcomes of Immune System Recognition,,,
o Changes in Protein Expression Facilitate Migration of Leukocytes into Infected Tissues,,,
o Activated Macrophages and Neutrophils May Clear Pathogens without Invoking Adaptive Immunity,,,
o Antigen Activation Optimizes Antigen Presentation by Dendritic Cells,,,
o Cytokine Secretion by Dendritic Cells and T Cells Can Direct the Subsequent Immune Response,,,
o Antigen Stimulation by T and B Cells Promotes Their Longer-Term Survival,,,
o Antigen Binding by T Cells Induces Their Division and Differentiation,,,
o Antigen Binding by B Cells Induces Their Division and Differentiation,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 4: Innate Immunity,Chapter 4: Innate Immunity,"Heavy revision throughout including informational updates, reorganization, and clarification. Many signal transduction pathways have moved to new Appendix D.",
● Anatomical Barriers to Infection,● Physical and Chemical Barriers to Infection,Figure 4-2 converted to table; Figure 4-3 removed.,
o Epithelial Barriers Prevent Pathogen Entry into the Body’s Interior,o Physical Barriers Prevent Pathogen Entry into the Body’s Interior,"Divided into three subsections: epithelial, mucoid, and endothelial barriers, with increased coverage of mucous (new Figure 4-2).",
o Antimicrobial Proteins and Peptides Kill Would-Be Invaders,o Antimicrobial Proteins and Peptides Kill Microbial Invaders and Interact with Innate Immune Cells,Added subsection about how AMPs interact with other elements of the innate immune system.,
,● The Cells of Innate Immunity,"New section reviews the myeloid and lymphoid lineage cells involved in innate immunity, adding details about their features and functions.",
,o Myeloid Cells Are Often the First to Respond,New section,
,o Innate Cells of the Lymphoid Lineage Are also Early Responders,"ILCs (including NK cells) moved up and expanded to include Type 1, 2, and 3 responses, with updated information (and new Figure 4-4) about these newly identified cell types.",
● Cellular Innate Response Receptors and Signaling,● Receptors of Innate Immunity,"Reorganized and updated to emphasize cellular locations and nature of molecule recognized by each receptor. Many signal transduction pathways (Figures 4-8, 4-9, 4-10, 4-12, 4-13, and 4-14) have moved to new Appendix D. New Overview Figure 4-5 summarizes PRRs.",
o Toll-Like Receptors Initiate Responses to Many Types of Molecules from Extracellular Pathogens,o Toll-Like Receptors Are Expressed on the Endosomal and Plasma Membranes,Added discussion of LPS recognition and new Figure 4-9.,
o C-Type Lectin Receptors Bind Carbohydrates on the Surfaces of Extracellular Pathogens,o C-Type Lectin Receptors Bind Carbohydrates on the Surfaces of Extracellular Pathogens,,
o NOD-Like Receptors Bind PAMPs from Cytosolic Pathogens,o RLRs Bind Cytosolic Viral RNA,New Figure 4-10.,
o ALRs Bind Cytosolic DNA,o cGAS and STING Are Activated by Cytosolic DNA and Dinucleotides,,
o RLRs Bind Cytosolic Viral RNA,o NOD-Like Receptors Bind PAMPs from Cytosolic Pathogens,Figure 4-11 converted to table. NLR inflammasomes Box (and its figures) is now integrated into the main text.,
o cGAS and STING Are Activated by Cytosolic DNA and Dinucleotides,o ALRs Bind Cytosolic DNA,,
● Induced Innate Immunity Effector Mechanisms,● The Effector Mechanisms of Induced Innate Immunity,,
,o Inflammation and Extravasation Focus Innate Immune Cells at the Site of Infection,"Introduction to extravasation (including figure of four steps) moved from Ch. 14.
Added Figure 4-15 showing activation of LFA-1.",
o Expression of Innate Immunity Proteins Is Induced by PRR Signaling,o Expression of Innate Immunity Proteins Is Induced by PRR Signaling,"Interferons have moved under the Cytokines umbrella and now includes both Type I and Type III IFNs.
Signaling through TNF receptors moved to Appx D",
o Phagocytosis Is an Important Mechanism for Eliminating Pathogens,o Phagocytosis Is an Important Mechanism for Eliminating Pathogens,"New heading on opsonins highlights relationship with complement.
New Advances Box 4-2 on Mechanisms of Cell Death.",
o Regulated Cell Death Contributes to Pathogen Elimination,,"Section converted to Advances Box 4-2, added necroptosis and apoptosis (brief), see above",
o Local Inflammation Is Triggered by Innate Immune Responses,,Section moved up and expanded to include extravasation,
● Innate Lymphoid Cells,,"Section moved up, expanded text and table (now 4-4), added new figure",
o Natural Killer Cells Are ILCs with Cytotoxic Activity,,,
o ILC Populations Produce Distinct Cytokines and Have Different Roles,,,
● Regulation and Evasion of Innate and Inflammatory Responses,● Modulation of Innate Responses,Added a section (and Box?) on trained immunity.,
o Innate and Inflammatory Responses Can Be Harmful,,Combined with the following section.,
o Innate and Inflammatory Responses Are Regulated Both Positively and Negatively,o Innate and Inflammatory Responses Are Regulated Both Positively and Negatively,No significant changes.,
,o Trained Immunity Is a Manifestation of Innate Immune Memory,New section on trained immunity,
o Pathogens Have Evolved Mechanisms to Evade Innate and Inflammatory Responses,o Pathogens Can Evade Innate and Inflammatory Responses,Added new Clinical Focus Box 4-3 about how SARS CoV-2 evades innate immune responses.,
● Interactions between the Innate and Adaptive Immune Systems,● Interactions between the Innate and Adaptive Immune Systems,Shortened as noted below.,
o The Innate Immune System Activates Adaptive Immune Responses,o The Innate Immune System Activates Adaptive Immune Responses,"Added discussion of Type 1, 2, 3 responses.",
o Recognition of Pathogens by Dendritic Cells Influences Helper T-Cell Differentiation,o Recognition of Pathogens by Dendritic Cells Influences Helper T-Cell Differentiation,"Added paragraph about the role of adjuvants in vaccine production, including mRNA vaccines (SARS CoV-2)",
o Some Antigens Containing PAMPs Can Activate B Cells Independent of Helper T Cells,,Cut,
o Adjuvants Activate Innate Immune Responses That Increase the Effectiveness of Immunizations,,"Shortened to a paragraph, moved to previous section",
o Some Pathogen Clearance Mechanisms Are Common to Both Innate and Adaptive Immune Responses,,Cut,
● Ubiquity of Innate Immunity,● Ubiquity of Innate Immunity,Updated Evolution Box 4-4 on plant defenses.,
o Some Innate Immune System Components Occur across the Plant and Animal Kingdoms,o Some Innate Immune System Components Occur across the Plant and Animal Kingdoms,,
o Invertebrate and Vertebrate Innate Immune Responses Show Both Similarities and Differences,o Invertebrate and Vertebrate Innate Immune Responses Show Both Similarities and Differences,,
● Conclusion,● Conclusion,,
● References,● References,,
● Study Questions,● Study Questions,,
,,,
Chapter 5: The Complement System,,Minor corrections and updates.,
● The Major Pathways of Complement Activation,,,
o The Classical Pathway Is Initiated by Antibody Binding to Antigens,,,
o The Lectin Pathway Is Initiated When Soluble Proteins Recognize Microbial Antigens,,,
o The Alternative Pathway Is Initiated in Three Distinct Ways,,,
o The Three Complement Pathways Converge at the Formation of C5 Convertase and Generation of the MAC,,,
● The Diverse Functions of Complement,,,
o Complement Receptors Connect Complement-Tagged Pathogens to Effector Cells,,,
o Complement Enhances Host Defense against Infection,,,
o Complement Mediates the Interface between Innate and Adaptive Immunities,,,
o Complement Aids in the Contraction Phase of the Immune Response,,,
● The Regulation of Complement Activity,,,
o Complement Activity Is Passively Regulated by Short Protein Half-Lives and Host Cell–Surface Composition,,,
"o The C1 Inhibitor, C1INH, Promotes Dissociation of C1 Components",,,
o Decay-Accelerating Factors Promote Decay of C3 Convertases,,,
o Factor I Degrades C3b and C4b,,,
o CD59 (Protectin) Inhibits the MAC Attack,,,
o Carboxypeptidases Can Inactivate the Anaphylatoxins C3a and C5a,,,
● Complement Deficiencies,,,
● Microbial Complement Evasion Strategies,,Table 5-7 now includes a new complement evasion strategy: Distruption of interactions between complement proteins by Schistosoma and Trypanosoma.,
● The Evolutionary Origins of the Complement System,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 6: The Organization and Expression of Lymphocyte Receptor Genes,,,
● The Puzzle of Immunoglobulin Gene Structure,,,
o Investigators Proposed Two Early Theoretical Models of Antibody Genetics,,,
o Breakthrough Experiments Revealed That Multiple Gene Segments Encode the Immunoglobulin Light Chain,,,
● Multigene Organization of Immunoglobulin Genes,,,
"o κ Light-Chain Genes Include V, J, and C Segments",,,
o λ Light-Chain Genes Include Paired J and C Segments,,,
"o Heavy-Chain Gene Organization Includes VH, D, JH, and CH Segments",,,
o The Antibody Genes Found in Mature B Cells Are the Product of DNA Recombination,,,
● The Mechanism of V(D)J Recombination,,,
o V(D)J Recombination in Lymphocytes Is a Highly Regulated Sequential Process,,,
o Recombination Is Directed by Recombination Signal Sequences,,,
o Gene Segments Are Joined by a Diverse Group of Proteins,,,
o V(D)J Recombination Occurs in a Series of Well-Regulated Steps,,,
o Five Mechanisms Generate Antibody Diversity in Naïve B Cells,,,
o The Regulation of V(D)J Gene Recombination Involves Chromatin Alteration,,,
● B-Cell Receptor Expression,,,
o Each B Cell Synthesizes only one Heavy Chain and One Light Chain,,,
o Receptor Editing of Potentially Autoreactive Receptors Occurs in Light Chains,,,
o mRNA Splicing Regulates the Expression of Membrane-Bound versus Secreted Ig,,,
● T-Cell Receptor Genes and Their Expression,,,
o Understanding the Protein Structure of the TCR Was Critical to the Process of Discovering the Genes,,,
o The β-Chain Gene Was Discovered Simultaneously in Two Different Laboratories,,,
o A Search for the α-Chain Gene Led to the g-Chain Gene Instead,,,
"o TCR Genes Are Arranged in V, D, and J Clusters of Gene Segments",,,
o Recombination of TCR Gene Segments Proceeds at a Different Rate and Occurs at Different Stages of Development in αβ versus gδ T Cells,,,
o The Process of TCR Gene Segment Rearrangement Is Very Similar to Immunoglobulin Gene Recombination,,,
o TCR Expression Is Controlled by Allelic Exclusion,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 7: The Major Histocompatibility Complex and Antigen Presentation,,,
● The Structure and Function of MHC Class I and II Molecules,,,
o Class I Molecules Consist of One Large Glycoprotein Heavy Chain Plus a Small Protein Light Chain,,,
o Class II Molecules Consist of Two Nonidentical Membrane-Bound Glycoprotein Chains,,,
o Class I and II Molecules Exhibit Polymorphism in the Region That Binds to Peptides,,,
● The Organization and Inheritance of MHC Genes,,,
o The MHC Locus Encodes the Three Major Classes of MHC Molecules,,,
o Allelic Forms of MHC Genes Are Inherited in Linked Groups Called Haplotypes,,,
o MHC Molecules Are Codominantly Expressed,,,
o Class I and Class II Molecules Exhibit Diversity at Both the Individual and Species Levels,,,
o MHC Polymorphism Is Primarily Limited to the Antigen-Binding Groove,,,
● The Role and Expression Pattern of MHC Molecules,,,
o MHC Molecules Present Both Intracellular and Extracellular Antigens,,,
o MHC Class I Expression Is Found throughout the Body,,,
o Expression of MHC Class II Molecules Is Primarily Restricted to Antigen-Presenting Cells,,,
o MHC Expression Can Change with Changing Conditions,,,
o MHC Alleles Play a Critical Role in Immune Responsiveness,,,
o Seminal Studies Demonstrate That T Cells Recognize Peptide Presented in the Context of Self-MHC Alleles,,,
o Evidence Suggests Different Antigen Processing and Presentation Pathways,,,
● The Endogenous Pathway of Antigen Processing and Presentation,,,
o Peptides Are Generated by Protease Complexes Called Proteasomes,,,
o Peptides Are Transported from the Cytosol to the Rough Endoplasmic Reticulum,,,
o Chaperones Aid Peptide Assembly with MHC Class I Molecules,,,
● The Exogenous Pathway of Antigen Processing and Presentation,,,
o Peptides Are Generated from Internalized Antigens in Endocytic Vesicles,,,
o The Invariant Chain Guides Transport of MHC Class II Molecules to Endocytic Vesicles,,,
o Peptides Assemble with MHC Class II Molecules by Displacing CLIP,,,
● Unconventional Antigen Processing and Presentation,,,
o Dendritic Cells Can Cross-Present Exogenous Antigen via MHC Class I Molecules,,,
o Cross-Presentation by APCs Is Essential for the Activation of Naïve CD8+ T Cells,,,
● Presentation of Nonpeptide Antigens,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 8: T-Cell Development,,Minor corrections and updates.,
● Early Thymocyte Development,,,
o Thymocytes Progress through Four Double-Negative Stages,,,
o Thymocytes Express Either ab or gd T-Cell Receptors,,,
"o DN Thymocytes Undergo β-Selection, Which Results in Proliferation and Differentiation",,,
● Positive and Negative Selection,,,
o Thymocytes “Learn” MHC Restriction in the Thymus,,,
o T Cells Undergo Positive and Negative Selection,,,
o Positive Selection Ensures MHC Restriction,,,
o Negative Selection (Central Tolerance) Ensures Self-Tolerance,,,
o The Selection Paradox: Why Don’t We Delete All Cells We Positively Select?,,,
o An Alternative Model Can Explain the Thymic Selection Paradox,,,
"o Do Positive and Negative Selection Occur at the Same Stage of Development, or in Sequence?",,,
● Lineage Commitment,,,
o Several Models Have Been Proposed to Explain Lineage Commitment,,,
o Transcription Factors Th-POK and Runx3 Regulate Lineage Commitment,,,
o Double-Positive Thymocytes May Commit to Other Types of Lymphocytes,,,
● Exit from the Thymus and Final Maturation,,,
● Other Mechanisms That Maintain Self-Tolerance,,,
o TREG Cells Negatively Regulate Immune Responses,,Updated discussion of clinical trials involving Tregs in immunotherapy.,
o Peripheral Mechanisms of Tolerance Also Protect against Autoreactive Thymocytes,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
Chapter 9: B-Cell Development,,Minor corrections and updates.,
● B-Cell Development in the Bone Marrow,,,
"o Changes in Cell-Surface Markers, Gene Expression, and Immunoglobulin Gene Rearrangements Define the Stages of B-Cell Development",,,
o The Earliest Steps in Lymphocyte Differentiation Culminate in the Generation of a Common Lymphoid Progenitor,,,
o The Later Stages of B-Cell Development Result in Commitment to the B-Cell Phenotype and the Stepwise Rearrangement of Immunoglobulin Genes,,,
o Immature B Cells in the Bone Marrow Are Exquisitely Sensitive to Tolerance Induction through the Elimination of Self-Reactive Cells,,,
● Completion of B-Cell Development in the Spleen,,,
o T1 and T2 Transitional B Cells Form in the Spleen and Undergo Selection for Survival and against Self-Reactivity,,,
o T2 B Cells Give Rise to Mature Follicular B-2 B Cells,,,
o T3 B Cells Are Primarily Self-Reactive and Anergic,,,
● The Properties and Development of B-1 and Marginal Zone B Cells,,,
"o B-1a, B-1b, and MZ B Cells Differ Phenotypically and Functionally from B-2 B Cells",,,
o B-1a B Cells Are Derived from a Distinct Developmental Lineage,,,
● Comparison of B- and T-Cell Development,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
"Chapter 10: T-Cell Activation, Helper Subset Differentiation, and Memory",,,
● T-Cell Activation and the Two-Signal Hypothesis,,,
○ TCR Signaling Provides Signal 1 and Sets the Stage for T-Cell Activation,,,
○ Costimulatory Signals Are Required for Optimal T-Cell Activation Whereas Coinhibitory Signals Prevent T-Cell Activation,,,
○ Clonal Anergy Results If a Costimulatory Signal Is Absent,,,
○ Cytokines Provide Signal 3,,,
○ Antigen-Presenting Cells Provide Costimulatory Ligands and Cytokines to Naïve T Cells,,,
○ Superantigens Are a Special Class of T-Cell Activators,,,
● Helper CD4+ T-Cell Differentiation,,,
○ Helper T Cells can be Divided into Distinct Subsets and Coordinate Type 1 and Type 2 Responses,,,
○ The Differentiation of Helper T-Cell Subsets Is Regulated by Polarizing Cytokines,,,
○ Each Effector Helper T-Cell Subset Has Unique Properties,,,
○ Helper T Cells May Not Be Irrevocably Committed to a Lineage,,,
○ Helper T-Cell Subsets Play Critical Roles in Immune Health and Disease,,,
● T-Cell Memory,,,
"○ Naïve, Effector, and Memory T Cells Can Be Distinguished by Differences in Surface Protein Expression",,,
○ Memory Cell Subpopulations Are Distinguished by Their Locale and Effector Activity,,,
○ Many Questions Remain Surrounding Memory T-Cell Origins and Functions,,,
● Conclusion,,,
● References,,,
● Study Questions,,,
,,,
"Chapter 11: B-Cell Activation, Differentiation, and Memory Generation",,Minor corrections and updates.,
● T-Dependent B-Cell Responses: Activation,,,
○ Naïve B Cells Encounter Antigen in the Lymph Nodes and Spleen,,,
